Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMOTORS,EQ,10-Dec-18,162.4,159.9,160.5,156.5,157.1,157.1,158.32,13520495,2140596137,95871,3885748,28.74
TATAMOTORS,EQ,11-Dec-18,157.1,155,159.5,154.65,158.25,158.1,157.35,12094881,1903118966,77588,2152904,17.8
TATAMOTORS,EQ,12-Dec-18,158.1,159.5,167.1,158,164,164.1,163.59,22461175,3674364047,121969,4737649,21.09
TATAMOTORS,EQ,13-Dec-18,164.1,166,168,165.55,166.8,166.85,166.88,12235499,2041875870,92984,3113574,25.45
TATAMOTORS,EQ,14-Dec-18,166.85,166,168.4,164.85,167,166.95,166.97,10091732,1685056156,70024,1744797,17.29
TATAMOTORS,EQ,17-Dec-18,166.95,167.25,175.95,167.25,174.5,173.95,173.61,28526103,4952303673,158893,4122415,14.45
TATAMOTORS,EQ,18-Dec-18,173.95,174,177.6,173.1,174.7,174.75,174.91,18015933,3151157475,111145,2825684,15.68
TATAMOTORS,EQ,19-Dec-18,174.75,176.5,176.5,172.5,173.5,173.9,174.36,11540042,2012157930,66466,2539766,22.01
TATAMOTORS,EQ,20-Dec-18,173.9,173,177.3,171.75,176.15,176.4,175,15819006,2768390589,91578,4815613,30.44
TATAMOTORS,EQ,21-Dec-18,176.4,177,180.5,175.15,175.5,176.25,178.14,23742481,4229437225,153930,7856342,33.09
TATAMOTORS,EQ,24-Dec-18,176.25,176.25,177.85,171.5,172.2,172.5,175.4,11374468,1995084873,64834,3208569,28.21
TATAMOTORS,EQ,26-Dec-18,172.5,171.45,172.2,167.6,171.4,170.9,169.98,12044191,2047301453,73360,1822092,15.13
TATAMOTORS,EQ,27-Dec-18,170.9,172.75,173.4,167.7,168.05,168.25,169.87,15231581,2587331015,78643,7622549,50.04
TATAMOTORS,EQ,28-Dec-18,168.25,169.4,172.2,169.15,171.4,170.85,171.15,8669584,1483786775,52303,1894151,21.85
TATAMOTORS,EQ,31-Dec-18,170.85,172.45,173.9,171.75,173.05,172.7,172.8,8511388,1470736018,53654,1621640,19.05
TATAMOTORS,EQ,1-Jan-19,172.7,173.5,174.2,171.3,174,173.45,172.71,6715543,1159866971,42618,1012065,15.07
TATAMOTORS,EQ,2-Jan-19,173.45,170.6,171.75,168,168.4,168.55,169.85,13410104,2277669121,77641,3329142,24.83
TATAMOTORS,EQ,3-Jan-19,168.55,169,170.15,165.1,165.7,166.05,167.81,9321842,1564267953,71994,2406742,25.82
TATAMOTORS,EQ,4-Jan-19,166.05,169,171.95,168.5,171.15,170.95,170.46,17650435,3008777565,103949,2451594,13.89
TATAMOTORS,EQ,7-Jan-19,170.95,173.2,178.2,173.2,175.25,175.35,176.27,21438351,3778953045,136086,4849592,22.62
TATAMOTORS,EQ,8-Jan-19,175.35,176.1,180.5,176.1,179.95,179.95,179.01,20128985,3603338781,116893,4977251,24.73
TATAMOTORS,EQ,9-Jan-19,179.95,181.5,183.6,180.2,183.55,183.05,182.05,17468948,3180237350,114177,3061311,17.52
TATAMOTORS,EQ,10-Jan-19,183.05,183.65,186.85,183.55,185.5,185.75,185.74,16961888,3150521338,96659,3784379,22.31
TATAMOTORS,EQ,11-Jan-19,185.75,186.55,187.75,179.4,179.8,180.3,182.53,25902974,4727945471,122548,5693316,21.98
TATAMOTORS,EQ,14-Jan-19,180.3,180.3,198.3,177.45,182.4,182.4,180.72,18935120,3422007614,94255,4948479,26.13
TATAMOTORS,EQ,15-Jan-19,182.4,183.3,185.8,181.25,184.9,185.35,183.58,13536578,2485039487,73236,2446743,18.08
TATAMOTORS,EQ,16-Jan-19,185.35,186,187.35,184.05,185.6,185.45,185.63,11874245,2204241788,67725,1629590,13.72
TATAMOTORS,EQ,17-Jan-19,185.45,186,187.3,183.4,184.95,184.9,185.18,9365756,1734304928,61476,1793071,19.14
TATAMOTORS,EQ,18-Jan-19,184.9,185.65,185.65,181.3,183.9,183.3,183.4,6797621,1246663274,54111,1235900,18.18
TATAMOTORS,EQ,21-Jan-19,183.3,184.3,184.95,180.65,181.4,181.5,182.21,6918258,1260580457,51105,1583873,22.89
TATAMOTORS,EQ,22-Jan-19,181.5,181.5,181.5,175.95,180.75,180.85,179.19,9775717,1751743502,69527,1524357,15.59
TATAMOTORS,EQ,23-Jan-19,180.85,181.7,182.7,178.55,179.9,180.25,180.41,9778926,1764216000,62779,1585259,16.21
TATAMOTORS,EQ,24-Jan-19,180.25,180,180.3,173.7,175.55,175.4,175.75,13461254,2365794416,83379,3037314,22.56
TATAMOTORS,EQ,25-Jan-19,175.4,175.95,178.9,171.95,173.3,173.25,176.09,12136892,2137157216,80117,3531714,29.1
TATAMOTORS,EQ,28-Jan-19,173.25,173.3,175.35,169.4,172.2,172.3,171.96,8167430,1404435304,56550,1451937,17.78
TATAMOTORS,EQ,29-Jan-19,172.3,172.35,174.9,170.9,174,173.6,173.23,6141180,1063829114,47983,1043877,17
TATAMOTORS,EQ,30-Jan-19,173.6,174.3,176.75,173.3,174.9,174.6,174.87,7757847,1356630813,63499,2160300,27.85
TATAMOTORS,EQ,31-Jan-19,174.6,175.8,183.9,175.8,179.95,181.2,178.7,22277646,3981040186,102976,12360263,55.48
TATAMOTORS,EQ,1-Feb-19,181.2,182,185.9,179.55,182,181.65,182.8,14931422,2729492471,109454,3791177,25.39
TATAMOTORS,EQ,4-Feb-19,181.65,181,183.7,178.2,181.2,180.25,180.7,11854351,2142107680,74380,2237533,18.88
TATAMOTORS,EQ,5-Feb-19,180.25,180.7,181.15,174.7,176,175.8,176.67,12064426,2131415823,77228,2467735,20.45
TATAMOTORS,EQ,6-Feb-19,175.8,176,179.45,171.9,179.1,178.5,175.68,10334594,1815588585,65918,1515052,14.66
TATAMOTORS,EQ,7-Feb-19,178.5,179,185,178.9,183.2,182.85,182.49,16152722,2947757761,107038,2606029,16.13
TATAMOTORS,EQ,8-Feb-19,182.85,164.6,164.6,129,150.15,150.7,151.25,102256857,15466317393,550656,20563700,20.11
TATAMOTORS,EQ,11-Feb-19,150.7,150.15,153.25,145.85,153,152.65,150.22,26161867,3929993775,148949,5181023,19.8
TATAMOTORS,EQ,12-Feb-19,152.65,152.95,154.4,150.6,152,151.8,152.54,14174912,2162306700,89715,3436432,24.24
TATAMOTORS,EQ,13-Feb-19,151.8,152.95,156.65,151.5,155.15,155,154.33,15340343,2367451306,92166,5843988,38.1
TATAMOTORS,EQ,14-Feb-19,155,155.95,161,153.8,159.45,159.85,157.41,16348306,2573375483,102639,3643168,22.28
TATAMOTORS,EQ,15-Feb-19,159.85,159.8,162.3,153.15,162.2,161.65,157.95,20705576,3270440371,117116,6798429,32.83
TATAMOTORS,EQ,18-Feb-19,161.65,162.8,163.45,159.2,163.1,162.9,161.34,13503666,2178743149,82838,3886128,28.78
TATAMOTORS,EQ,19-Feb-19,162.9,164,165.95,161.55,164.9,163.75,164.08,14533142,2384597026,84846,3620670,24.91
TATAMOTORS,EQ,20-Feb-19,163.75,164.45,166.7,163.75,164.7,164.8,165.06,11610728,1916519176,97537,3684017,31.73
TATAMOTORS,EQ,21-Feb-19,164.8,165.6,170.6,165.1,170,169.7,168.15,14811723,2490592243,155893,3588724,24.23
TATAMOTORS,EQ,22-Feb-19,169.7,170,175.3,167.85,174.9,174.3,171.72,13011477,2234271631,82739,3475045,26.71
TATAMOTORS,EQ,25-Feb-19,174.3,175.15,177.5,173.5,176.3,175.75,175.23,15554532,2725611124,114084,5350553,34.4
TATAMOTORS,EQ,26-Feb-19,175.75,173,183.45,172.5,183,182.65,180.05,31859427,5736280849,174362,11539174,36.22
TATAMOTORS,EQ,27-Feb-19,182.65,183.55,186.1,176.1,176.75,177.35,180.48,19723906,3559691941,134393,4286378,21.73
TATAMOTORS,EQ,28-Feb-19,177.35,180,181.55,176.6,177.1,177.45,179.06,18692372,3347041332,146754,6605500,35.34
TATAMOTORS,EQ,1-Mar-19,177.45,178.65,184,177.35,180.05,180.3,180.45,20539919,3706346256,118041,2312099,11.26
TATAMOTORS,EQ,5-Mar-19,180.3,183.8,198.35,181.4,193.4,194.05,192.19,58138551,11173909383,328690,9101321,15.65
TATAMOTORS,EQ,6-Mar-19,194.05,195.4,195.4,187.75,189.4,188.8,190.86,22468702,4288486667,134553,6932034,30.85
TATAMOTORS,EQ,7-Mar-19,188.8,191.4,193.45,187.8,190.3,189.3,190.37,27051501,5149845610,172177,6948538,25.69
TATAMOTORS,EQ,8-Mar-19,189.3,187.8,187.95,180,180.7,181.2,183.15,28012914,5130598168,172839,7913793,28.25
TATAMOTORS,EQ,11-Mar-19,181.2,182,184.6,181.05,181.85,181.85,182.3,25669662,4679642719,102474,9540397,37.17
