Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TATAMOTORS,EQ,12-Mar-19,181.85,184.4,186,183.55,184.45,184.8,184.93,18657724,3450394909,111319,5613739,30.09
TATAMOTORS,EQ,13-Mar-19,184.8,184.45,184.9,180.4,181.35,181.7,182.05,9769821,1778622507,63017,2064034,21.13
TATAMOTORS,EQ,14-Mar-19,181.7,181.5,182.45,177.65,179.4,179.55,180.1,15737080,2834321829,94756,3630297,23.07
TATAMOTORS,EQ,15-Mar-19,179.55,180.2,181.4,177.6,180,180,179.4,17490993,3137887075,87698,9214225,52.68
TATAMOTORS,EQ,18-Mar-19,180,181,184.7,179.5,182.2,182.25,182.82,14690339,2685641292,129888,3545848,24.14
TATAMOTORS,EQ,19-Mar-19,182.25,182,184.5,180.75,182.85,182.85,182.57,10318028,1883766310,80379,2340267,22.68
TATAMOTORS,EQ,20-Mar-19,182.85,183,183.45,179.6,180.2,180.2,181.31,7543753,1367737758,46582,2350929,31.16
TATAMOTORS,EQ,22-Mar-19,180.2,181.95,182,174.9,175.3,175.4,178.13,11505994,2049568525,77535,3797240,33
TATAMOTORS,EQ,25-Mar-19,175.4,173.7,173.8,170.55,171,171.3,172.2,11864723,2043104571,80412,3391982,28.59
TATAMOTORS,EQ,26-Mar-19,171.3,171.9,173.6,171.6,173.3,173.1,172.48,7820112,1348773880,54484,2704233,34.58
TATAMOTORS,EQ,27-Mar-19,173.1,174,175,169.15,169.75,169.85,171.96,10047628,1727741427,65187,3139071,31.24
TATAMOTORS,EQ,28-Mar-19,169.85,169,171.4,167.55,170.9,170.55,169.93,13203927,2243747640,97478,2600906,19.7
TATAMOTORS,EQ,29-Mar-19,170.55,171.15,177.05,171,173.9,174.25,174.87,17780440,3109270674,112368,4617391,25.97
TATAMOTORS,EQ,1-Apr-19,174.25,176.35,189.75,176.35,187.3,187.35,185.06,46389181,8584576555,241946,7908028,17.05
TATAMOTORS,EQ,2-Apr-19,187.35,188.05,204.4,185.3,203.5,202.95,197.22,100834335,19886834961,459286,11509596,11.41
TATAMOTORS,EQ,3-Apr-19,202.95,205,208.95,199.2,201.8,201.35,204.7,81779620,16739994389,370107,13086058,16
TATAMOTORS,EQ,4-Apr-19,201.35,201.85,206.9,201.05,206.3,206.15,204.35,41268908,8433503905,229445,7515979,18.21
TATAMOTORS,EQ,5-Apr-19,206.15,208,209.5,202.3,205.85,205.15,205.24,32057373,6579343919,168573,4266914,13.31
TATAMOTORS,EQ,8-Apr-19,205.15,206,207.4,198.8,201.9,200.55,202.8,23877595,4842304954,128483,6151584,25.76
TATAMOTORS,EQ,9-Apr-19,200.55,200,207.6,198.15,207,205.9,203.68,29611268,6031150276,163842,4938370,16.68
TATAMOTORS,EQ,10-Apr-19,205.9,206,217.4,205.6,215.8,216.05,213.58,69349488,14811922705,351825,14698693,21.2
